"term","coefficient","penalty","year","target","best_penalty","best_mixture","cv_rmse","cv_rsq","abs_coef","question","answer_level"
"partei_label_AfD",0.500671494820885,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.500671494820885,NA,"partei_label_AfD"
"partei_label_LINKE",0.383919302301548,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.383919302301548,NA,"partei_label_LINKE"
"Q6_Ja.",0.302946968918487,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.302946968918487,"Q6","Ja."
"Q6_Nein.",-0.270865004610469,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.270865004610469,"Q6","Nein."
"Q50_Ja.",0.213917974584454,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.213917974584454,"Q50","Ja."
"(Intercept)",-0.178263304534561,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.178263304534561,NA,"(Intercept)"
"Q5_Nein.",-0.129901209120619,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.129901209120619,"Q5","Nein."
"Q41_Unentschieden",0.121201900758297,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.121201900758297,"Q41","Unentschieden"
"partei_label_CDU.CSU",-0.119050297133971,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.119050297133971,NA,"partei_label_CDU.CSU"
"Q61_Unentschieden",0.100223802127912,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.100223802127912,"Q61","Unentschieden"
"Q30_Nein.",-0.082082299875646,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.082082299875646,"Q30","Nein."
"Q45_Eher.nicht",0.0806883403061694,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0806883403061694,"Q45","Eher.nicht"
"Q26_Unentschieden",0.080087022890234,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.080087022890234,"Q26","Unentschieden"
"Q34_Ja.",-0.0542662310627361,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0542662310627361,"Q34","Ja."
"Q63_Nein.",-0.0517860594772461,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0517860594772461,"Q63","Nein."
"Q59_Eher.nicht",-0.0263818083627489,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0263818083627489,"Q59","Eher.nicht"
"Q6_Eher.nicht",-0.0250316826056061,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0250316826056061,"Q6","Eher.nicht"
"Q41_Nein.",-0.0237575485885593,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0237575485885593,"Q41","Nein."
"Q52_Ja.",0.0196127489527735,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0196127489527735,"Q52","Ja."
"Q74_Nein.",0.0109392790278342,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.0109392790278342,"Q74","Nein."
"Q11_Eher.ja",-0.00807277472901466,0.0494171336132383,2017,"anti_elite_score",0.0494171336132383,1,0.420506401986177,0.630561163293843,0.00807277472901466,"Q11","Eher.ja"
