"term","coefficient","penalty","year","target","best_penalty","best_mixture","cv_rmse","cv_rsq","abs_coef","question","answer_level"
"partei_label_AfD",0.714464516708554,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.714464516708554,NA,"partei_label_AfD"
"partei_label_LINKE",0.275852944245392,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.275852944245392,NA,"partei_label_LINKE"
"Q56_Eher.ja",-0.21398983886711,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.21398983886711,"Q56","Eher.ja"
"Q41_Eher.nicht",0.197385537031263,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.197385537031263,"Q41","Eher.nicht"
"partei_label_SPD",-0.18205403041578,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.18205403041578,NA,"partei_label_SPD"
"Q51_Nein.",0.166424556846471,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.166424556846471,"Q51","Nein."
"Q53_Unentschieden",0.15865713823383,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.15865713823383,"Q53","Unentschieden"
"Q31_other",-0.157870775341549,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.157870775341549,"Q31","other"
"Q63_Nein.",0.144576234648037,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.144576234648037,"Q63","Nein."
"Q38_Ja.",-0.142778681235039,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.142778681235039,"Q38","Ja."
"Q63_Eher.nicht",0.138712319312365,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.138712319312365,"Q63","Eher.nicht"
"Q30_Ja.",0.132381270343739,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.132381270343739,"Q30","Ja."
"Q23_Eher.nicht",0.114600510792819,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.114600510792819,"Q23","Eher.nicht"
"Q37_Eher.nicht",-0.109341948176176,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.109341948176176,"Q37","Eher.nicht"
"(Intercept)",-0.107425942280028,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.107425942280028,NA,"(Intercept)"
"Q35_Nein.",0.0876293642730381,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0876293642730381,"Q35","Nein."
"Q58_Eher.ja",0.0859947214270565,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0859947214270565,"Q58","Eher.ja"
"Q8_Nein.",-0.085377132483718,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.085377132483718,"Q8","Nein."
"Q68_Nein.",0.0841695812667254,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0841695812667254,"Q68","Nein."
"Q44_Eher.ja",0.0676469226235226,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0676469226235226,"Q44","Eher.ja"
"Q52_Eher.nicht",0.0617056102972003,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0617056102972003,"Q52","Eher.nicht"
"partei_label_CDU.CSU",-0.0589261961165936,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0589261961165936,NA,"partei_label_CDU.CSU"
"Q6_Ja.",0.0588776512534524,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0588776512534524,"Q6","Ja."
"Q43_Eher.ja",0.0573184805206558,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0573184805206558,"Q43","Eher.ja"
"Q13_Unentschieden",-0.056791873130437,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.056791873130437,"Q13","Unentschieden"
"Q24_Eher.nicht",-0.0562906995805064,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0562906995805064,"Q24","Eher.nicht"
"Q48_Ja.",0.0552609951730106,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0552609951730106,"Q48","Ja."
"Q25_Eher.ja",0.0500146485425001,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0500146485425001,"Q25","Eher.ja"
"Q43_Eher.nicht",-0.0449835665636459,0.0281176869797423,2021,"anti_elite_score",0.0281176869797423,1,0.420094825761142,0.57968825953161,0.0449835665636459,"Q43","Eher.nicht"
